Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.190323,3.212903,3.190323,2.929032,3.2,3.203226,23852.38,30248.92,23852.38,6474.437,26240.03,27142.03,zero
19,3.254839,3.216129,3.219355,2.970968,3.254839,3.180645,59098.63,31443.88,32734.43,7404.12,59098.63,21851.91,zero
39,3.203226,3.23871,3.196774,2.935484,3.187097,3.187097,27142.03,43330.57,25394.4,6603.542,23147.45,23147.45,zero
58,3.206452,3.183871,3.2,2.916129,3.193548,3.187097,28106.23,22481.69,26240.03,6229.241,24600.02,23147.45,zero
75,3.190323,3.219355,3.196774,2.983871,3.193548,3.225806,23852.38,32734.43,25394.4,7739.797,24600.02,35652.21,zero
93,3.190323,3.206452,3.251613,2.932258,3.187097,3.177419,23852.38,28106.23,55104.05,6538.423,23147.45,21255.28,zero
110,3.235484,3.219355,3.212903,2.941936,3.26129,3.222581,41123.04,32734.43,30248.92,6737.299,69085.06,34132.53,zero
129,3.206452,3.177419,3.225806,2.941936,3.225806,3.209677,28106.23,21255.28,35652.21,6737.299,35652.21,29139.31,zero
146,3.180645,3.206452,3.26129,2.925807,3.251613,3.183871,21851.91,28106.23,69085.06,6411.554,55104.05,22481.69,zero
164,3.170968,3.203226,3.206452,2.922581,3.183871,3.183871,20151.48,27142.03,28106.23,6349.746,22481.69,22481.69,zero
181,3.196774,3.183871,3.212903,2.929032,3.206452,3.203226,25394.4,22481.69,30248.92,6474.437,28106.23,27142.03,zero
199,3.209677,3.174194,3.206452,2.967742,3.212903,3.167742,29139.31,20689.25,28106.23,7324.274,30248.92,19639.98,zero
216,3.23871,3.254839,3.177419,2.935484,3.180645,3.245161,43330.57,59098.63,21255.28,6603.542,21851.91,48524.75,zero
234,3.190323,3.245161,3.254839,2.951613,3.193548,3.190323,23852.38,48524.75,59098.63,6947.224,24600.02,23852.38,zero
252,3.170968,3.222581,3.251613,2.922581,3.258065,3.209677,20151.48,34132.53,55104.05,6349.746,63707.75,29139.31,zero
270,3.193548,3.187097,3.206452,2.916129,3.209677,3.209677,24600.02,23147.45,28106.23,6229.241,29139.31,29139.31,zero
292,3.190323,3.187097,3.203226,2.925807,3.203226,3.180645,23852.38,23147.45,27142.03,6411.554,27142.03,21851.91,zero
312,3.190323,3.248387,3.190323,2.929032,3.212903,3.206452,23852.38,51608.8,23852.38,6474.437,30248.92,28106.23,zero
335,3.212903,3.203226,3.187097,2.993548,3.248387,3.187097,30248.92,27142.03,23147.45,8010.107,51608.8,23147.45,zero
354,3.241935,3.174194,3.235484,3.006452,3.219355,3.225806,45783.38,20689.25,41123.04,8398.242,32734.43,35652.21,zero
374,3.229032,3.229032,3.26129,2.987097,3.235484,3.241935,37310.04,37310.04,69085.06,7828.042,41123.04,45783.38,zero
393,3.216129,3.212903,3.2,2.932258,3.209677,3.183871,31443.88,30248.92,26240.03,6538.423,29139.31,22481.69,zero
411,3.170968,3.216129,3.222581,2.996774,3.209677,3.232258,20151.48,31443.88,34132.53,8104.044,29139.31,39125.75,zero
431,3.190323,3.193548,3.23871,2.925807,3.193548,3.225806,23852.38,24600.02,43330.57,6411.554,24600.02,35652.21,zero
451,3.206452,3.232258,3.248387,2.958065,3.245161,3.180645,28106.23,39125.75,51608.8,7093.775,48524.75,21851.91,zero
472,3.190323,3.193548,3.274194,2.935484,3.190323,3.180645,23852.38,24600.02,104037.6,6603.542,23852.38,21851.91,zero
493,3.209677,3.216129,3.23871,2.967742,3.235484,3.241935,29139.31,31443.88,43330.57,7324.274,41123.04,45783.38,zero
513,3.164516,3.232258,3.190323,2.970968,3.187097,3.203226,19152.84,39125.75,23852.38,7404.12,23147.45,27142.03,zero
