Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.187097,3.206452,3.212903,3,3.183871,3.096774,23147.45,28106.23,30248.92,8200.002,22481.69,12495.24,zero
17,3.193548,3.212903,3.177419,2.964516,3.177419,3.054839,24600.02,30248.92,21255.28,7245.964,21255.28,10217.63,zero
34,3.216129,3.180645,3.219355,2.922581,3.190323,3.06129,31443.88,21851.91,32734.43,6349.746,23852.38,10515.95,zero
51,3.158064,3.193548,3.193548,2.977419,3.167742,3.1,18244.99,24600.02,24600.02,7568.602,19639.98,12710,zero
68,3.209677,3.241935,3.170968,2.967742,3.232258,3.080645,29139.31,45783.38,20151.48,7324.274,39125.75,11516.17,zero
85,3.174194,3.174194,3.183871,2.990323,3.23871,3.096774,20689.25,20689.25,22481.69,7918.126,43330.57,12495.24,zero
102,3.225806,3.174194,3.177419,2.948387,3.187097,3.106452,35652.21,20689.25,21255.28,6875.965,23147.45,13161,zero
119,3.241935,3.16129,3.174194,2.954839,3.180645,3.109677,45783.38,18688.36,20689.25,7019.815,21851.91,13397.96,zero
136,3.174194,3.174194,3.174194,2.951613,3.183871,3.070968,20689.25,20689.25,20689.25,6947.224,22481.69,10994.93,zero
153,3.2,3.225806,3.170968,2.948387,3.174194,3.070968,26240.03,35652.21,20151.48,6875.965,20689.25,10994.93,zero
170,3.190323,3.167742,3.183871,2.941936,3.190323,3.087097,23852.38,19639.98,22481.69,6737.299,23852.38,11890,zero
186,3.177419,3.187097,3.225806,2.951613,3.203226,3.051613,21255.28,23147.45,35652.21,6947.224,27142.03,10074.29,zero
203,3.177419,3.23871,3.170968,2.941936,3.180645,3.090322,21255.28,43330.57,20151.48,6737.299,21851.91,12085.54,zero
220,3.183871,3.148387,3.170968,2.93871,3.183871,3.129032,22481.69,17028.07,20151.48,6669.824,22481.69,15007.54,zero
237,3.212903,3.158064,3.232258,2.945161,3.196774,3.119355,30248.92,18244.99,39125.75,6806.002,25394.4,14159.64,zero
254,3.196774,3.212903,3.2,2.954839,3.216129,3.090322,25394.4,30248.92,26240.03,7019.815,31443.88,12085.54,zero
