Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.135484,3.135484,3.180645,3.077419,3.125806,3.151613,15628.23,15628.23,21851.91,11337.39,14714.44,17416.07,zero
20,3.151613,3.116129,3.212903,3.112903,3.141935,3.193548,17416.07,13896.84,30248.92,13643.1,16299.58,24600.02,zero
38,3.145161,3.193548,3.206452,3.164516,3.154839,3.125806,16656.24,24600.02,28106.23,19152.84,17821.32,14714.44,zero
58,3.106452,3.167742,3.135484,3.119355,3.135484,3.135484,13161,19639.98,15628.23,14159.64,15628.23,15628.23,zero
78,3.096774,3.193548,3.141935,3.096774,3.170968,3.116129,12495.24,24600.02,16299.58,12495.24,20151.48,13896.84,zero
97,3.064516,3.135484,3.122581,3.106452,3.151613,3.170968,10671.23,15628.23,14431.99,13161,17416.07,20151.48,zero
114,3.077419,3.151613,3.158064,3.096774,3.151613,3.141935,11337.39,17416.07,18244.99,12495.24,17416.07,16299.58,zero
133,2.996774,3.167742,3.148387,3.141935,3.154839,3.116129,8104.044,19639.98,17028.07,16299.58,17821.32,13896.84,zero
150,2.909677,3.196774,3.212903,3.1,3.151613,3.119355,6112.726,25394.4,30248.92,12710,17416.07,14159.64,zero
169,2.790323,3.180645,3.16129,3.1,3.145161,3.167742,4489.241,21851.91,18688.36,12710,16656.24,19639.98,zero
187,3.090322,3.141935,3.132258,3.151613,3.145161,3.122581,12085.54,16299.58,15311.92,17416.07,16656.24,14431.99,zero
206,2.587097,3.183871,3.180645,3.129032,3.158064,3.158064,2975.746,22481.69,21851.91,15007.54,18244.99,18244.99,zero
224,2.558064,2.967742,3.183871,3.125806,3.135484,3.141935,2827.217,7324.274,22481.69,14714.44,15628.23,16299.58,zero
242,2.593548,3.109677,3.129032,3.103226,3.148387,3.16129,3010.411,13397.96,15007.54,12931.8,17028.07,18688.36,zero
261,2.548387,3.125806,3.177419,3.167742,3.164516,3.148387,2780.258,14714.44,21255.28,19639.98,19152.84,17028.07,zero
281,2.558064,2.664516,3.129032,3.13871,3.193548,3.125806,2827.217,3438.172,15007.54,15957.19,24600.02,14714.44,zero
300,2.596774,3.074193,3.112903,3.109677,3.132258,3.151613,3027.981,11163.71,13643.1,13397.96,15311.92,17416.07,zero
320,2.622581,3.132258,3.151613,3.1,3.190323,3.13871,3174.571,15311.92,17416.07,12710,23852.38,15957.19,zero
341,2.712903,3.119355,3.135484,3.116129,3.135484,3.112903,3789.121,14159.64,15628.23,13896.84,15628.23,13643.1,zero
361,2.877419,3.119355,3.203226,3.090322,3.177419,3.183871,5583.51,14159.64,27142.03,12085.54,21255.28,22481.69,zero
379,2.893548,3.132258,3.151613,3.116129,3.151613,3.154839,5837.618,15311.92,17416.07,13896.84,17416.07,17821.32,zero
398,2.958065,3.119355,3.16129,3.103226,3.203226,3.190323,7093.775,14159.64,18688.36,12931.8,27142.03,23852.38,zero
418,2.983871,3.164516,3.170968,3.106452,3.206452,3.125806,7739.797,19152.84,20151.48,13161,28106.23,14714.44,zero
438,3.022581,3.148387,3.190323,3.103226,3.148387,3.132258,8934.187,17028.07,23852.38,12931.8,17028.07,15311.92,zero
457,3.067742,3.116129,3.135484,3.135484,3.2,3.116129,10830.83,13896.84,15628.23,15628.23,26240.03,13896.84,zero
477,3.019355,3.125806,3.170968,2.980645,3.164516,3.13871,8822.07,14714.44,20151.48,7653.334,19152.84,15957.19,zero
498,3.06129,3.167742,3.145161,3.006452,3.170968,3.132258,10515.95,19639.98,16656.24,8398.242,20151.48,15311.92,zero
519,3.064516,3.135484,3.209677,3.029032,3.193548,3.141935,10671.23,15628.23,29139.31,9166.429,24600.02,16299.58,zero
539,3,3.13871,3.183871,2.970968,3.203226,3.13871,8200.002,15957.19,22481.69,7404.12,27142.03,15957.19,zero
558,3.012903,3.13871,3.135484,2.980645,3.132258,3.116129,8605.394,15957.19,15628.23,7653.334,15311.92,13896.84,zero
578,3.003226,3.13871,3.151613,2.993548,3.129032,3.148387,8298.045,15957.19,17416.07,8010.107,15007.54,17028.07,zero
598,3.009677,3.122581,3.170968,3.03871,3.2,3.183871,8500.668,14431.99,20151.48,9536.297,26240.03,22481.69,zero
617,3.067742,3.148387,3.164516,2.977419,3.13871,3.129032,10830.83,17028.07,19152.84,7568.602,15957.19,15007.54,zero
636,3.016129,3.174194,3.196774,3.006452,3.170968,3.180645,8712.501,20689.25,25394.4,8398.242,20151.48,21851.91,zero
655,3.054839,3.167742,3.129032,2.977419,3.174194,3.132258,10217.63,19639.98,15007.54,7568.602,20689.25,15311.92,zero
676,3.054839,3.164516,3.177419,3.003226,3.190323,3.13871,10217.63,19152.84,21255.28,8298.045,23852.38,15957.19,zero
697,3.090322,3.180645,3.203226,3.022581,3.125806,3.145161,12085.54,21851.91,27142.03,8934.187,14714.44,16656.24,zero
718,3.041935,3.148387,3.154839,2.964516,3.196774,3.135484,9665.75,17028.07,17821.32,7245.964,25394.4,15628.23,zero
738,3.045161,3.180645,3.206452,2.974194,3.16129,3.122581,9798.481,21851.91,28106.23,7485.546,18688.36,14431.99,zero
757,3.029032,3.148387,3.167742,2.977419,3.145161,3.132258,9166.429,17028.07,19639.98,7568.602,16656.24,15311.92,zero
776,3.058064,3.193548,3.193548,2.980645,3.177419,3.141935,10364.8,24600.02,24600.02,7653.334,21255.28,16299.58,zero
795,3.064516,3.122581,3.13871,3.003226,3.203226,3.109677,10671.23,14431.99,15957.19,8298.045,27142.03,13397.96,zero
816,3.035484,3.145161,3.174194,2.974194,3.13871,3.116129,9410,16656.24,20689.25,7485.546,15957.19,13896.84,zero
835,3.045161,3.193548,3.141935,2.954839,3.141935,3.145161,9798.481,24600.02,16299.58,7019.815,16299.58,16656.24,zero
852,3.067742,3.148387,3.132258,2.970968,3.164516,3.190323,10830.83,17028.07,15311.92,7404.12,19152.84,23852.38,zero
870,3.077419,3.145161,3.203226,2.970968,3.190323,3.119355,11337.39,16656.24,27142.03,7404.12,23852.38,14159.64,zero
890,3.054839,3.132258,3.148387,2.967742,3.129032,3.187097,10217.63,15311.92,17028.07,7324.274,15007.54,23147.45,zero
911,3.067742,3.151613,3.174194,2.993548,3.183871,3.112903,10830.83,17416.07,20689.25,8010.107,22481.69,13643.1,zero
930,3.083871,3.177419,3.187097,3.019355,3.190323,3.109677,11700.3,21255.28,23147.45,8822.07,23852.38,13397.96,zero
950,3.093548,3.132258,3.174194,2.967742,3.196774,3.119355,12287.18,15311.92,20689.25,7324.274,25394.4,14159.64,zero
970,3.067742,3.164516,3.13871,3.016129,3.158064,3.116129,10830.83,19152.84,15957.19,8712.501,18244.99,13896.84,zero
988,3.080645,3.177419,3.158064,3.035484,3.190323,3.141935,11516.17,21255.28,18244.99,9410,23852.38,16299.58,zero
1007,3.06129,3.164516,3.129032,3.029032,3.158064,3.129032,10515.95,19152.84,15007.54,9166.429,18244.99,15007.54,zero
