Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.116129,3.1,3.164516,2.732258,3.129032,2.790323,13896.84,12710,19152.84,3946.25,15007.54,4489.241,zero
17,3.13871,3.154839,3.109677,2.741935,3.148387,2.770968,15957.19,17821.32,13397.96,4028.902,17028.07,4295,zero
33,3.125806,3.167742,3.154839,2.76129,3.096774,2.774194,14714.44,19639.98,17821.32,4203.114,12495.24,4326.381,zero
50,3.132258,3.083871,3.132258,2.758065,3.096774,2.803226,15311.92,11700.3,15311.92,4173.214,12495.24,4627.143,zero
68,3.151613,3.122581,3.093548,2.73871,3.096774,2.777419,17416.07,14431.99,12287.18,4001.035,12495.24,4358.148,zero
85,3.154839,3.1,3.13871,2.758065,3.125806,2.783871,17821.32,12710,15957.19,4173.214,14714.44,4422.875,zero
101,3.083871,3.106452,3.087097,2.783871,3.109677,2.780645,11700.3,13161,11890,4422.875,13397.96,4390.311,zero
118,3.093548,3.103226,3.116129,2.729032,3.083871,2.8,12287.18,12931.8,13896.84,3919.323,11700.3,4592,zero
135,3.106452,3.158064,3.093548,2.754839,3.093548,2.812903,13161,18244.99,12287.18,4143.669,12287.18,4735.364,zero
152,3.093548,3.125806,3.096774,2.735484,3.103226,2.816129,12287.18,14714.44,12495.24,3973.486,12931.8,4772.4,zero
169,3.112903,3.116129,3.1,2.709677,3.093548,2.774194,13643.1,13896.84,12710,3763.935,12287.18,4326.381,zero
187,3.112903,3.093548,3.090322,2.73871,3.1,2.774194,13643.1,12287.18,12085.54,4001.035,12710,4326.381,zero
204,3.103226,3.096774,3.167742,2.735484,3.141935,2.787097,12931.8,12495.24,19639.98,3973.486,16299.58,4455.849,zero
221,3.090322,3.090322,3.1,2.719355,3.106452,2.819355,12085.54,12085.54,12710,3840.334,13161,4809.933,zero
238,3.103226,3.154839,3.090322,2.748387,3.096774,2.803226,12931.8,17821.32,12085.54,4085.615,12495.24,4627.143,zero
255,3.125806,3.122581,3.087097,2.7,3.103226,2.825806,14714.44,14431.99,11890,3690.001,12931.8,4886.53,zero
272,3.096774,3.1,3.141935,2.735484,3.093548,2.796774,12495.24,12710,16299.58,3973.486,12287.18,4557.308,zero
288,3.103226,3.103226,3.109677,2.683871,3.093548,2.777419,12931.8,12931.8,13397.96,3571.938,12287.18,4358.148,zero
305,3.151613,3.090322,3.141935,2.73871,3.1,2.783871,17416.07,12085.54,16299.58,4001.035,12710,4422.875,zero
322,3.109677,3.1,3.116129,2.748387,3.132258,2.812903,13397.96,12710,13896.84,4085.615,15311.92,4735.364,zero
340,3.1,3.096774,3.129032,2.751613,3.106452,2.764516,12710,12495.24,15007.54,4114.471,13161,4233.374,zero
357,3.116129,3.129032,3.151613,2.680645,3.109677,2.835484,13896.84,15007.54,17416.07,3549.063,13397.96,5005.416,zero
373,3.103226,3.1,3.112903,2.729032,3.145161,2.777419,12931.8,12710,13643.1,3919.323,16656.24,4358.148,zero
391,3.141935,3.1,3.112903,2.674194,3.132258,2.809677,16299.58,12710,13643.1,3504.021,15311.92,4698.815,zero
408,3.141935,3.103226,3.122581,2.741935,3.125806,2.822581,16299.58,12931.8,14431.99,4028.902,14714.44,4847.973,zero
426,3.080645,3.087097,3.16129,2.683871,3.106452,2.809677,11516.17,11890,18688.36,3571.938,13161,4698.815,zero
443,3.090322,3.103226,3.093548,2.725806,3.112903,2.780645,12085.54,12931.8,12287.18,3892.697,13643.1,4390.311,zero
460,3.122581,3.083871,3.096774,2.674194,3.109677,2.803226,14431.99,11700.3,12495.24,3504.021,13397.96,4627.143,zero
477,3.096774,3.154839,3.145161,2.706452,3.106452,2.748387,12495.24,17821.32,16656.24,3739.022,13161,4085.615,zero
494,3.132258,3.080645,3.093548,2.651613,3.116129,2.790323,15311.92,11516.17,12287.18,3353.432,13896.84,4489.241,zero
511,3.122581,3.122581,3.106452,2.690323,3.125806,2.774194,14431.99,14431.99,13161,3618.413,14714.44,4326.381,zero
527,3.090322,3.096774,3.090322,2.648387,3.13871,2.790323,12085.54,12495.24,12085.54,3332.772,15957.19,4489.241,zero
544,3.103226,3.109677,3.093548,2.693548,3.090322,2.780645,12931.8,13397.96,12287.18,3642.022,12085.54,4390.311,zero
562,3.109677,3.129032,3.158064,2.696774,3.087097,2.764516,13397.96,15007.54,18244.99,3665.883,11890,4233.374,zero
579,3.125806,3.129032,3.1,2.664516,3.119355,2.796774,14714.44,15007.54,12710,3438.172,14159.64,4557.308,zero
596,3.164516,3.087097,3.16129,2.641935,3.093548,2.780645,19152.84,11890,18688.36,3292.058,12287.18,4390.311,zero
612,3.106452,3.13871,3.158064,2.651613,3.090322,2.803226,13161,15957.19,18244.99,3353.432,12085.54,4627.143,zero
629,3.116129,3.158064,3.077419,2.641935,3.129032,2.829032,13896.84,18244.99,11337.39,3292.058,15007.54,4925.616,zero
646,3.16129,3.1,3.093548,2.7,3.093548,2.758065,18688.36,12710,12287.18,3690.001,12287.18,4173.214,zero
663,3.083871,3.164516,3.16129,2.696774,3.090322,2.758065,11700.3,19152.84,18688.36,3665.883,12085.54,4173.214,zero
680,3.122581,3.148387,3.1,2.654839,3.090322,2.774194,14431.99,17028.07,12710,3374.299,12085.54,4326.381,zero
697,3.158064,3.087097,3.125806,2.696774,3.116129,2.829032,18244.99,11890,14714.44,3665.883,13896.84,4925.616,zero
714,3.112903,3.122581,3.087097,2.645161,3.103226,2.819355,13643.1,14431.99,11890,3312.315,12931.8,4809.933,zero
731,3.1,3.154839,3.103226,2.66129,3.096774,2.780645,12710,17821.32,12931.8,3416.666,12495.24,4390.311,zero
748,3.135484,3.116129,3.106452,2.667742,3.116129,2.770968,15628.23,13896.84,13161,3459.898,13896.84,4295,zero
765,3.1,3.096774,3.083871,2.677419,3.109677,2.783871,12710,12495.24,11700.3,3526.426,13397.96,4422.875,zero
782,3.083871,3.125806,3.090322,2.7,3.129032,2.809677,11700.3,14714.44,12085.54,3690.001,15007.54,4698.815,zero
799,3.145161,3.096774,3.13871,2.654839,3.116129,2.754839,16656.24,12495.24,15957.19,3374.299,13896.84,4143.669,zero
816,3.087097,3.141935,3.096774,2.674194,3.087097,2.751613,11890,16299.58,12495.24,3504.021,11890,4114.471,zero
833,3.109677,3.087097,3.093548,2.667742,3.13871,2.758065,13397.96,11890,12287.18,3459.898,15957.19,4173.214,zero
850,3.090322,3.132258,3.1,2.654839,3.151613,2.790323,12085.54,15311.92,12710,3374.299,17416.07,4489.241,zero
866,3.122581,3.158064,3.103226,2.687097,3.129032,2.790323,14431.99,18244.99,12931.8,3595.053,15007.54,4489.241,zero
883,3.145161,3.106452,3.1,2.677419,3.112903,2.767742,16656.24,13161,12710,3526.426,13643.1,4264,zero
900,3.106452,3.151613,3.083871,2.654839,3.109677,2.764516,13161,17416.07,11700.3,3374.299,13397.96,4233.374,zero
917,3.096774,3.080645,3.154839,2.693548,3.16129,2.8,12495.24,11516.17,17821.32,3642.022,18688.36,4592,zero
934,3.129032,3.122581,3.112903,2.658064,3.13871,2.764516,15007.54,14431.99,13643.1,3395.376,15957.19,4233.374,zero
951,3.16129,3.1,3.141935,2.703226,3.1,2.770968,18688.36,12710,16299.58,3714.379,12710,4295,zero
968,3.125806,3.106452,3.164516,2.645161,3.125806,2.829032,14714.44,13161,19152.84,3312.315,14714.44,4925.616,zero
985,3.112903,3.087097,3.087097,2.664516,3.106452,2.819355,13643.1,11890,11890,3438.172,13161,4809.933,zero
1002,3.129032,3.164516,3.087097,2.725806,3.129032,2.774194,15007.54,19152.84,11890,3892.697,15007.54,4326.381,zero
1019,3.135484,3.106452,3.087097,2.725806,3.083871,2.832258,15628.23,13161,11890,3892.697,11700.3,4965.241,zero
1036,3.16129,3.135484,3.119355,2.658064,3.119355,2.796774,18688.36,15628.23,14159.64,3395.376,14159.64,4557.308,zero
1054,3.093548,3.16129,3.096774,2.664516,3.112903,2.777419,12287.18,18688.36,12495.24,3438.172,13643.1,4358.148,zero
1071,3.148387,3.103226,3.103226,2.680645,3.112903,2.819355,17028.07,12931.8,12931.8,3549.063,13643.1,4809.933,zero
1088,3.119355,3.16129,3.125806,2.677419,3.090322,2.825806,14159.64,18688.36,14714.44,3526.426,12085.54,4886.53,zero
1105,3.090322,3.13871,3.125806,2.722581,3.16129,2.796774,12085.54,15957.19,14714.44,3866.369,18688.36,4557.308,zero
1122,3.112903,3.096774,3.087097,2.674194,3.096774,2.774194,13643.1,12495.24,11890,3504.021,12495.24,4326.381,zero
1139,3.154839,3.116129,3.093548,2.690323,3.090322,2.8,17821.32,13896.84,12287.18,3618.413,12085.54,4592,zero
1156,3.119355,3.096774,3.096774,2.670968,3.164516,2.764516,14159.64,12495.24,12495.24,3481.847,19152.84,4233.374,zero
1173,3.151613,3.13871,3.087097,2.664516,3.093548,2.790323,17416.07,15957.19,11890,3438.172,12287.18,4489.241,zero
1190,3.132258,3.103226,3.125806,2.648387,3.112903,2.767742,15311.92,12931.8,14714.44,3332.772,13643.1,4264,zero
