Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label
0,3.196774,3.135484,3.103226,2.722581,3.145161,2.816129,25394.4,15628.23,12931.8,3866.369,16656.24,4772.4,zero
17,3.135484,3.141935,3.151613,2.706452,3.170968,2.812903,15628.23,16299.58,17416.07,3739.022,20151.48,4735.364,zero
35,3.206452,3.203226,3.151613,2.73871,3.203226,2.796774,28106.23,27142.03,17416.07,4001.035,27142.03,4557.308,zero
52,3.203226,3.167742,3.096774,2.719355,3.141935,2.806452,27142.03,19639.98,12495.24,3840.334,16299.58,4662.745,zero
69,3.151613,3.141935,3.093548,2.729032,3.209677,2.816129,17416.07,16299.58,12287.18,3919.323,29139.31,4772.4,zero
86,3.148387,3.145161,3.103226,2.73871,3.216129,2.770968,17028.07,16656.24,12931.8,4001.035,31443.88,4295,zero
103,3.174194,3.167742,3.096774,2.751613,3.170968,2.796774,20689.25,19639.98,12495.24,4114.471,20151.48,4557.308,zero
120,3.206452,3.145161,3.112903,2.764516,3.206452,2.758065,28106.23,16656.24,13643.1,4233.374,28106.23,4173.214,zero
137,3.154839,3.148387,3.106452,2.73871,3.216129,2.764516,17821.32,17028.07,13161,4001.035,31443.88,4233.374,zero
153,3.148387,3.212903,3.158064,2.774194,3.135484,2.783871,17028.07,30248.92,18244.99,4326.381,15628.23,4422.875,zero
170,3.129032,3.174194,3.116129,2.712903,3.167742,2.774194,15007.54,20689.25,13896.84,3789.121,19639.98,4326.381,zero
187,3.148387,3.196774,3.106452,2.709677,3.16129,2.774194,17028.07,25394.4,13161,3763.935,18688.36,4326.381,zero
204,3.151613,3.135484,3.167742,2.706452,3.158064,2.780645,17416.07,15628.23,19639.98,3739.022,18244.99,4390.311,zero
221,3.209677,3.148387,3.109677,2.706452,3.174194,2.829032,29139.31,17028.07,13397.96,3739.022,20689.25,4925.616,zero
238,3.219355,3.148387,3.083871,2.767742,3.167742,2.780645,32734.43,17028.07,11700.3,4264,19639.98,4390.311,zero
255,3.151613,3.141935,3.145161,2.725806,3.167742,2.76129,17416.07,16299.58,16656.24,3892.697,19639.98,4203.114,zero
272,3.190323,3.13871,3.109677,2.729032,3.170968,2.764516,23852.38,15957.19,13397.96,3919.323,20151.48,4233.374,zero
289,3.148387,3.151613,3.116129,2.725806,3.180645,2.774194,17028.07,17416.07,13896.84,3892.697,21851.91,4326.381,zero
306,3.164516,3.141935,3.096774,2.758065,3.187097,2.812903,19152.84,16299.58,12495.24,4173.214,23147.45,4735.364,zero
322,3.206452,3.141935,3.148387,2.745161,3.145161,2.819355,28106.23,16299.58,17028.07,4057.093,16656.24,4809.933,zero
339,3.148387,3.167742,3.103226,2.770968,3.180645,2.780645,17028.07,19639.98,12931.8,4295,21851.91,4390.311,zero
356,3.158064,3.129032,3.116129,2.767742,3.151613,2.774194,18244.99,15007.54,13896.84,4264,17416.07,4326.381,zero
373,3.145161,3.193548,3.122581,2.722581,3.212903,2.822581,16656.24,24600.02,14431.99,3866.369,30248.92,4847.973,zero
390,3.135484,3.183871,3.109677,2.716129,3.164516,2.780645,15628.23,22481.69,13397.96,3814.586,19152.84,4390.311,zero
407,3.148387,3.170968,3.13871,2.748387,3.151613,2.780645,17028.07,20151.48,15957.19,4085.615,17416.07,4390.311,zero
424,3.148387,3.158064,3.1,2.741935,3.158064,2.825806,17028.07,18244.99,12710,4028.902,18244.99,4886.53,zero
441,3.177419,3.145161,3.109677,2.751613,3.177419,2.770968,21255.28,16656.24,13397.96,4114.471,21255.28,4295,zero
458,3.158064,3.203226,3.154839,2.774194,3.151613,2.790323,18244.99,27142.03,17821.32,4326.381,17416.07,4489.241,zero
475,3.135484,3.187097,3.164516,2.732258,3.2,2.822581,15628.23,23147.45,19152.84,3946.25,26240.03,4847.973,zero
492,3.132258,3.135484,3.141935,2.735484,3.158064,2.8,15311.92,15628.23,16299.58,3973.486,18244.99,4592,zero
509,3.158064,3.13871,3.096774,2.722581,3.148387,2.8,18244.99,15957.19,12495.24,3866.369,17028.07,4592,zero
526,3.2,3.13871,3.1,2.748387,3.177419,2.780645,26240.03,15957.19,12710,4085.615,21255.28,4390.311,zero
543,3.148387,3.216129,3.148387,2.748387,3.151613,2.780645,17028.07,31443.88,17028.07,4085.615,17416.07,4390.311,zero
559,3.13871,3.151613,3.129032,2.780645,3.141935,2.819355,15957.19,17416.07,15007.54,4390.311,16299.58,4809.933,zero
576,3.206452,3.154839,3.158064,2.777419,3.158064,2.806452,28106.23,17821.32,18244.99,4358.148,18244.99,4662.745,zero
593,3.16129,3.174194,3.148387,2.722581,3.164516,2.777419,18688.36,20689.25,17028.07,3866.369,19152.84,4358.148,zero
610,3.196774,3.203226,3.13871,2.767742,3.158064,2.809677,25394.4,27142.03,15957.19,4264,18244.99,4698.815,zero
627,3.158064,3.151613,3.090322,2.719355,3.16129,2.767742,18244.99,17416.07,12085.54,3840.334,18688.36,4264,zero
644,3.148387,3.135484,3.13871,2.767742,3.16129,2.764516,17028.07,15628.23,15957.19,4264,18688.36,4233.374,zero
661,3.167742,3.151613,3.087097,2.722581,3.209677,2.770968,19639.98,17416.07,11890,3866.369,29139.31,4295,zero
678,3.206452,3.174194,3.1,2.745161,3.148387,2.787097,28106.23,20689.25,12710,4057.093,17028.07,4455.849,zero
695,3.177419,3.187097,3.096774,2.725806,3.183871,2.764516,21255.28,23147.45,12495.24,3892.697,22481.69,4233.374,zero
712,3.151613,3.164516,3.109677,2.719355,3.167742,2.806452,17416.07,19152.84,13397.96,3840.334,19639.98,4662.745,zero
729,3.154839,3.132258,3.119355,2.725806,3.206452,2.803226,17821.32,15311.92,14159.64,3892.697,28106.23,4627.143,zero
746,3.190323,3.193548,3.103226,2.764516,3.164516,2.825806,23852.38,24600.02,12931.8,4233.374,19152.84,4886.53,zero
763,3.158064,3.212903,3.148387,2.722581,3.141935,2.809677,18244.99,30248.92,17028.07,3866.369,16299.58,4698.815,zero
780,3.154839,3.135484,3.135484,2.777419,3.154839,2.783871,17821.32,15628.23,15628.23,4358.148,17821.32,4422.875,zero
797,3.174194,3.170968,3.16129,2.790323,3.219355,2.8,20689.25,20151.48,18688.36,4489.241,32734.43,4592,zero
814,3.151613,3.177419,3.119355,2.774194,3.219355,2.777419,17416.07,21255.28,14159.64,4326.381,32734.43,4358.148,zero
830,3.209677,3.187097,3.106452,2.735484,3.122581,2.764516,29139.31,23147.45,13161,3973.486,14431.99,4233.374,zero
847,3.16129,3.154839,3.109677,2.73871,3.2,2.796774,18688.36,17821.32,13397.96,4001.035,26240.03,4557.308,zero
864,3.129032,3.190323,3.090322,2.758065,3.170968,2.76129,15007.54,23852.38,12085.54,4173.214,20151.48,4203.114,zero
881,3.177419,3.193548,3.13871,2.73871,3.216129,2.767742,21255.28,24600.02,15957.19,4001.035,31443.88,4264,zero
898,3.180645,3.13871,3.090322,2.729032,3.154839,2.76129,21851.91,15957.19,12085.54,3919.323,17821.32,4203.114,zero
915,3.203226,3.193548,3.141935,2.751613,3.148387,2.767742,27142.03,24600.02,16299.58,4114.471,17028.07,4264,zero
932,3.148387,3.148387,3.106452,2.725806,3.151613,2.770968,17028.07,17028.07,13161,3892.697,17416.07,4295,zero
949,3.13871,3.193548,3.1,2.745161,3.216129,2.758065,15957.19,24600.02,12710,4057.093,31443.88,4173.214,zero
966,3.177419,3.183871,3.129032,2.764516,3.206452,2.793548,21255.28,22481.69,15007.54,4233.374,28106.23,4523.057,zero
983,3.170968,3.180645,3.167742,2.767742,3.212903,2.774194,20151.48,21851.91,19639.98,4264,30248.92,4326.381,zero
1001,3.2,3.193548,3.093548,2.751613,3.180645,2.770968,26240.03,24600.02,12287.18,4114.471,21851.91,4295,zero
1018,3.151613,3.148387,3.151613,2.777419,3.2,2.806452,17416.07,17028.07,17416.07,4358.148,26240.03,4662.745,zero
1035,3.141935,3.151613,3.112903,2.722581,3.193548,2.787097,16299.58,17416.07,13643.1,3866.369,24600.02,4455.849,zero
1052,3.164516,3.145161,3.112903,2.780645,3.158064,2.783871,19152.84,16656.24,13643.1,4390.311,18244.99,4422.875,zero
1069,3.145161,3.209677,3.119355,2.725806,3.135484,2.783871,16656.24,29139.31,14159.64,3892.697,15628.23,4422.875,zero
1086,3.190323,3.187097,3.129032,2.712903,3.141935,2.76129,23852.38,23147.45,15007.54,3789.121,16299.58,4203.114,zero
1103,3.206452,3.13871,3.093548,2.729032,3.158064,2.767742,28106.23,15957.19,12287.18,3919.323,18244.99,4264,zero
1120,3.151613,3.203226,3.145161,2.777419,3.158064,2.758065,17416.07,27142.03,16656.24,4358.148,18244.99,4173.214,zero
1137,3.193548,3.151613,3.1,2.758065,3.158064,2.790323,24600.02,17416.07,12710,4173.214,18244.99,4489.241,zero
1154,3.180645,3.16129,3.145161,2.712903,3.196774,2.777419,21851.91,18688.36,16656.24,3789.121,25394.4,4358.148,zero
1171,3.167742,3.122581,3.090322,2.76129,3.13871,2.787097,19639.98,14431.99,12085.54,4203.114,15957.19,4455.849,zero
1188,3.132258,3.148387,3.1,2.712903,3.145161,2.767742,15311.92,17028.07,12710,3789.121,16656.24,4264,zero
1205,3.174194,3.164516,3.087097,2.719355,3.141935,2.790323,20689.25,19152.84,11890,3840.334,16299.58,4489.241,zero
1222,3.158064,3.13871,3.096774,2.716129,3.170968,2.829032,18244.99,15957.19,12495.24,3814.586,20151.48,4925.616,zero
1239,3.167742,3.183871,3.145161,2.722581,3.154839,2.793548,19639.98,22481.69,16656.24,3866.369,17821.32,4523.057,zero
1256,3.167742,3.148387,3.119355,2.732258,3.145161,2.783871,19639.98,17028.07,14159.64,3946.25,16656.24,4422.875,zero
1273,3.132258,3.154839,3.119355,2.729032,3.187097,2.796774,15311.92,17821.32,14159.64,3919.323,23147.45,4557.308,zero
1290,3.187097,3.177419,3.116129,2.73871,3.135484,2.770968,23147.45,21255.28,13896.84,4001.035,15628.23,4295,zero
1307,3.183871,3.209677,3.122581,2.751613,3.151613,2.767742,22481.69,29139.31,14431.99,4114.471,17416.07,4264,zero
1324,3.187097,3.167742,3.096774,2.725806,3.187097,2.767742,23147.45,19639.98,12495.24,3892.697,23147.45,4264,zero
1341,3.193548,3.158064,3.093548,2.76129,3.148387,2.812903,24600.02,18244.99,12287.18,4203.114,17028.07,4735.364,zero
1358,3.203226,3.158064,3.164516,2.716129,3.170968,2.806452,27142.03,18244.99,19152.84,3814.586,20151.48,4662.745,zero
1375,3.158064,3.174194,3.119355,2.725806,3.154839,2.780645,18244.99,20689.25,14159.64,3892.697,17821.32,4390.311,zero
1392,3.164516,3.193548,3.145161,2.745161,3.164516,2.770968,19152.84,24600.02,16656.24,4057.093,19152.84,4295,zero
1409,3.16129,3.154839,3.13871,2.722581,3.219355,2.770968,18688.36,17821.32,15957.19,3866.369,32734.43,4295,zero
1426,3.193548,3.148387,3.112903,2.767742,3.158064,2.809677,24600.02,17028.07,13643.1,4264,18244.99,4698.815,zero
1442,3.148387,3.158064,3.1,2.725806,3.145161,2.812903,17028.07,18244.99,12710,3892.697,16656.24,4735.364,zero
1459,3.141935,3.183871,3.112903,2.745161,3.216129,2.783871,16299.58,22481.69,13643.1,4057.093,31443.88,4422.875,zero
1476,3.187097,3.206452,3.132258,2.748387,3.164516,2.819355,23147.45,28106.23,15311.92,4085.615,19152.84,4809.933,zero
1493,3.154839,3.13871,3.112903,2.748387,3.148387,2.819355,17821.32,15957.19,13643.1,4085.615,17028.07,4809.933,zero
1510,3.187097,3.177419,3.093548,2.754839,3.206452,2.774194,23147.45,21255.28,12287.18,4143.669,28106.23,4326.381,zero
1527,3.135484,3.141935,3.1,2.764516,3.148387,2.790323,15628.23,16299.58,12710,4233.374,17028.07,4489.241,zero
1544,3.203226,3.183871,3.093548,2.706452,3.203226,2.806452,27142.03,22481.69,12287.18,3739.022,27142.03,4662.745,zero
1561,3.154839,3.151613,3.080645,2.758065,3.193548,2.758065,17821.32,17416.07,11516.17,4173.214,24600.02,4173.214,zero
1578,3.145161,3.13871,3.096774,2.783871,3.164516,2.787097,16656.24,15957.19,12495.24,4422.875,19152.84,4455.849,zero
1595,3.183871,3.209677,3.112903,2.725806,3.180645,2.780645,22481.69,29139.31,13643.1,3892.697,21851.91,4390.311,zero
1612,3.183871,3.196774,3.093548,2.725806,3.222581,2.806452,22481.69,25394.4,12287.18,3892.697,34132.53,4662.745,zero
1629,3.16129,3.145161,3.132258,2.741935,3.151613,2.812903,18688.36,16656.24,15311.92,4028.902,17416.07,4735.364,zero
1646,3.158064,3.148387,3.112903,2.719355,3.203226,2.790323,18244.99,17028.07,13643.1,3840.334,27142.03,4489.241,zero
1663,3.141935,3.148387,3.093548,2.770968,3.154839,2.790323,16299.58,17028.07,12287.18,4295,17821.32,4489.241,zero
1680,3.132258,3.209677,3.103226,2.758065,3.154839,2.764516,15311.92,29139.31,12931.8,4173.214,17821.32,4233.374,zero
1696,3.141935,3.13871,3.103226,2.751613,3.196774,2.774194,16299.58,15957.19,12931.8,4114.471,25394.4,4326.381,zero
1713,3.16129,3.129032,3.16129,2.725806,3.141935,2.829032,18688.36,15007.54,18688.36,3892.697,16299.58,4925.616,zero
1730,3.170968,3.164516,3.132258,2.754839,3.151613,2.777419,20151.48,19152.84,15311.92,4143.669,17416.07,4358.148,zero
1748,3.148387,3.145161,3.135484,2.73871,3.190323,2.780645,17028.07,16656.24,15628.23,4001.035,23852.38,4390.311,zero
1765,3.148387,3.174194,3.158064,2.793548,3.183871,2.780645,17028.07,20689.25,18244.99,4523.057,22481.69,4390.311,zero
1781,3.158064,3.148387,3.087097,2.729032,3.135484,2.803226,18244.99,17028.07,11890,3919.323,15628.23,4627.143,zero
1798,3.193548,3.148387,3.122581,2.777419,3.122581,2.812903,24600.02,17028.07,14431.99,4358.148,14431.99,4735.364,zero
1816,3.167742,3.135484,3.109677,2.712903,3.190323,2.777419,19639.98,15628.23,13397.96,3789.121,23852.38,4358.148,zero
