Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance,Label,FileName
0,3.116129,3.1,3.164516,2.732258,3.129032,2.790323,13896.84,12710.0,19152.84,3946.25,15007.54,4489.241,tiptoe,tiptoe_01_Xie.csv
17,3.13871,3.154839,3.109677,2.741935,3.148387,2.770968,15957.19,17821.32,13397.96,4028.902,17028.07,4295.0,tiptoe,tiptoe_01_Xie.csv
33,3.125806,3.167742,3.154839,2.76129,3.096774,2.774194,14714.44,19639.98,17821.32,4203.114,12495.24,4326.381,tiptoe,tiptoe_01_Xie.csv
50,3.132258,3.083871,3.132258,2.758065,3.096774,2.803226,15311.92,11700.3,15311.92,4173.214,12495.24,4627.143,tiptoe,tiptoe_01_Xie.csv
68,3.151613,3.122581,3.093548,2.73871,3.096774,2.777419,17416.07,14431.99,12287.18,4001.035,12495.24,4358.148,tiptoe,tiptoe_01_Xie.csv
85,3.154839,3.1,3.13871,2.758065,3.125806,2.783871,17821.32,12710.0,15957.19,4173.214,14714.44,4422.875,tiptoe,tiptoe_01_Xie.csv
101,3.083871,3.106452,3.087097,2.783871,3.109677,2.780645,11700.3,13161.0,11890.0,4422.875,13397.96,4390.311,tiptoe,tiptoe_01_Xie.csv
118,3.093548,3.103226,3.116129,2.729032,3.083871,2.8,12287.18,12931.8,13896.84,3919.323,11700.3,4592.0,tiptoe,tiptoe_01_Xie.csv
135,3.106452,3.158064,3.093548,2.754839,3.093548,2.812903,13161.0,18244.99,12287.18,4143.669,12287.18,4735.364,tiptoe,tiptoe_01_Xie.csv
152,3.093548,3.125806,3.096774,2.735484,3.103226,2.816129,12287.18,14714.44,12495.24,3973.486,12931.8,4772.4,tiptoe,tiptoe_01_Xie.csv
169,3.112903,3.116129,3.1,2.709677,3.093548,2.774194,13643.1,13896.84,12710.0,3763.935,12287.18,4326.381,tiptoe,tiptoe_01_Xie.csv
187,3.112903,3.093548,3.090322,2.73871,3.1,2.774194,13643.1,12287.18,12085.54,4001.035,12710.0,4326.381,tiptoe,tiptoe_01_Xie.csv
204,3.103226,3.096774,3.167742,2.735484,3.141935,2.787097,12931.8,12495.24,19639.98,3973.486,16299.58,4455.849,tiptoe,tiptoe_01_Xie.csv
221,3.090322,3.090322,3.1,2.719355,3.106452,2.819355,12085.54,12085.54,12710.0,3840.334,13161.0,4809.933,tiptoe,tiptoe_01_Xie.csv
238,3.103226,3.154839,3.090322,2.748387,3.096774,2.803226,12931.8,17821.32,12085.54,4085.615,12495.24,4627.143,tiptoe,tiptoe_01_Xie.csv
255,3.125806,3.122581,3.087097,2.7,3.103226,2.825806,14714.44,14431.99,11890.0,3690.001,12931.8,4886.53,tiptoe,tiptoe_01_Xie.csv
272,3.096774,3.1,3.141935,2.735484,3.093548,2.796774,12495.24,12710.0,16299.58,3973.486,12287.18,4557.308,tiptoe,tiptoe_01_Xie.csv
288,3.103226,3.103226,3.109677,2.683871,3.093548,2.777419,12931.8,12931.8,13397.96,3571.938,12287.18,4358.148,tiptoe,tiptoe_01_Xie.csv
305,3.151613,3.090322,3.141935,2.73871,3.1,2.783871,17416.07,12085.54,16299.58,4001.035,12710.0,4422.875,tiptoe,tiptoe_01_Xie.csv
322,3.109677,3.1,3.116129,2.748387,3.132258,2.812903,13397.96,12710.0,13896.84,4085.615,15311.92,4735.364,tiptoe,tiptoe_01_Xie.csv
340,3.1,3.096774,3.129032,2.751613,3.106452,2.764516,12710.0,12495.24,15007.54,4114.471,13161.0,4233.374,tiptoe,tiptoe_01_Xie.csv
357,3.116129,3.129032,3.151613,2.680645,3.109677,2.835484,13896.84,15007.54,17416.07,3549.063,13397.96,5005.416,tiptoe,tiptoe_01_Xie.csv
373,3.103226,3.1,3.112903,2.729032,3.145161,2.777419,12931.8,12710.0,13643.1,3919.323,16656.24,4358.148,tiptoe,tiptoe_01_Xie.csv
391,3.141935,3.1,3.112903,2.674194,3.132258,2.809677,16299.58,12710.0,13643.1,3504.021,15311.92,4698.815,tiptoe,tiptoe_01_Xie.csv
408,3.141935,3.103226,3.122581,2.741935,3.125806,2.822581,16299.58,12931.8,14431.99,4028.902,14714.44,4847.973,tiptoe,tiptoe_01_Xie.csv
426,3.080645,3.087097,3.16129,2.683871,3.106452,2.809677,11516.17,11890.0,18688.36,3571.938,13161.0,4698.815,tiptoe,tiptoe_01_Xie.csv
443,3.090322,3.103226,3.093548,2.725806,3.112903,2.780645,12085.54,12931.8,12287.18,3892.697,13643.1,4390.311,tiptoe,tiptoe_01_Xie.csv
460,3.122581,3.083871,3.096774,2.674194,3.109677,2.803226,14431.99,11700.3,12495.24,3504.021,13397.96,4627.143,tiptoe,tiptoe_01_Xie.csv
