Time(ms),S1_Voltage,S2_Voltage,S3_Voltage,S4_Voltage,S5_Voltage,S6_Voltage,S1_Resistance,S2_Resistance,S3_Resistance,S4_Resistance,S5_Resistance,S6_Resistance
0,0.012903,0.003226,0.003226,0,0.003226,0,3.218842,0.802348,0.802348,-1,0.802348,-1
17,0.009677,0.009677,0.006452,0.003226,0.006452,0.003226,2.411765,2.411765,1.606268,0.802348,1.606268,0.802348
34,0,0.009677,0.003226,0.012903,0.012903,0,-1,2.411765,0.802348,3.218842,3.218842,-1
50,0.006452,0.003226,0.009677,0.006452,0.003226,0.006452,1.606268,0.802348,2.411765,1.606268,0.802348,1.606268
67,0.012903,0,0.012903,0.009677,0.009677,0.003226,3.218842,-1,3.218842,2.411765,2.411765,0.802348
84,0.003226,0,0.003226,0,0.012903,0.006452,0.802348,-1,0.802348,-1,3.218842,1.606268
101,0.009677,0.003226,0.003226,0.006452,0.003226,0.009677,2.411765,0.802348,0.802348,1.606268,0.802348,2.411765
118,0.006452,0.003226,0.003226,0,0.003226,0,1.606268,0.802348,0.802348,-1,0.802348,-1
134,0,0,0.003226,0.006452,0.003226,0.006452,-1,-1,0.802348,1.606268,0.802348,1.606268
151,0.009677,0.006452,0.019355,0,0,0.006452,2.411765,1.606268,4.837758,-1,-1,1.606268
168,0.003226,0.003226,0.009677,0.003226,0.003226,0.003226,0.802348,0.802348,2.411765,0.802348,0.802348,0.802348
185,0.019355,0.006452,0.012903,0,0.006452,0,4.837758,1.606268,3.218842,-1,1.606268,-1
201,0.009677,0,0.006452,0.003226,0.003226,0.006452,2.411765,-1,1.606268,0.802348,0.802348,1.606268
218,0.006452,0,0.006452,0.003226,0,0.003226,1.606268,-1,1.606268,0.802348,-1,0.802348
235,0.006452,0.003226,0.003226,0.006452,0.009677,0.003226,1.606268,0.802348,0.802348,1.606268,2.411765,0.802348
252,0,0.003226,0.006452,0.016129,0.006452,0,-1,0.802348,1.606268,4.027505,1.606268,-1
